Category,Subcategory,Sub_Subcategory,Semester,Year,Internal,Subject_Code,Subject_Name,Module,Title,Telegram_File_ID,File_Name,Notes
Notes,,,1,,,M24CA1C101,Mathematical Foundations,1,Module 1 Notes,,,
Notes,,,1,,,M24CA1C101,Mathematical Foundations,2,Module 2 Notes,,,
Notes,,,1,,,M24CA1C101,Mathematical Foundations,3,Module 3 Notes,,,
Notes,,,1,,,M24CA1C101,Mathematical Foundations,4,Module 4 Notes,,,
Notes,,,1,,,M24CA1C101,Mathematical Foundations,5,Module 5 Notes,,,
Notes,,,1,,,M24CA1C102,Digital Fundamentals,1,Module 1 Notes,,,
Notes,,,1,,,M24CA1C102,Digital Fundamentals,2,Module 2 Notes,,,
Notes,,,1,,,M24CA1C102,Digital Fundamentals,3,Module 3 Notes,,,
Notes,,,1,,,M24CA1C102,Digital Fundamentals,4,Module 4 Notes,,,
Notes,,,1,,,M24CA1C102,Digital Fundamentals,5,Module 5 Notes,,,
Notes,,,1,,,M24CA1C103,Advanced Software Engineering,1,Module 1 Notes,,,
Notes,,,1,,,M24CA1C103,Advanced Software Engineering,2,Module 2 Notes,,,
Notes,,,1,,,M24CA1C103,Advanced Software Engineering,3,Module 3 Notes,,,
Notes,,,1,,,M24CA1C103,Advanced Software Engineering,4,Module 4 Notes,,,
Notes,,,1,,,M24CA1C103,Advanced Software Engineering,5,Module 5 Notes,,,
Notes,,,1,,,M24CA1C104,Advanced Data Structures,1,Module 1 Notes,,,
Notes,,,1,,,M24CA1C104,Advanced Data Structures,2,Module 2 Notes,,,
Notes,,,1,,,M24CA1C104,Advanced Data Structures,3,Module 3 Notes,,,
Notes,,,1,,,M24CA1C104,Advanced Data Structures,4,Module 4 Notes,,,
Notes,,,1,,,M24CA1C104,Advanced Data Structures,5,Module 5 Notes,,,
Notes,,,2,,,M24CA1C201,Advanced Computer Networks,1,Module 1 Notes,,,
Notes,,,2,,,M24CA1C201,Advanced Computer Networks,2,Module 2 Notes,,,
Notes,,,2,,,M24CA1C201,Advanced Computer Networks,3,Module 3 Notes,,,
Notes,,,2,,,M24CA1C201,Advanced Computer Networks,4,Module 4 Notes,,,
Notes,,,2,,,M24CA1C201,Advanced Computer Networks,5,Module 5 Notes,,,
Notes,,,2,,,M24CA1C202,Advanced DBMS,1,Module 1 Notes,,,
Notes,,,2,,,M24CA1C202,Advanced DBMS,2,Module 2 Notes,,,
Notes,,,2,,,M24CA1C202,Advanced DBMS,3,Module 3 Notes,,,
Notes,,,2,,,M24CA1C202,Advanced DBMS,4,Module 4 Notes,,,
Notes,,,2,,,M24CA1C202,Advanced DBMS,5,Module 5 Notes,,,
Notes,,,2,,,M24CA1C203,Advanced Operating Systems,1,Module 1 Notes,,,
Notes,,,2,,,M24CA1C203,Advanced Operating Systems,2,Module 2 Notes,,,
Notes,,,2,,,M24CA1C203,Advanced Operating Systems,3,Module 3 Notes,,,
Notes,,,2,,,M24CA1C203,Advanced Operating Systems,4,Module 4 Notes,,,
Notes,,,2,,,M24CA1C203,Advanced Operating Systems,5,Module 5 Notes,,,
Notes,,,2,,,M24CA1E204B,Data Visualization,1,Module 1 Notes,,,
Notes,,,2,,,M24CA1E204B,Data Visualization,2,Module 2 Notes,,,
Notes,,,2,,,M24CA1E204B,Data Visualization,3,Module 3 Notes,,,
Notes,,,2,,,M24CA1E204B,Data Visualization,4,Module 4 Notes,,,
Notes,,,2,,,M24CA1E204B,Data Visualization,5,Module 5 Notes,,,
Notes,,,2,,,M24CA1E204D,Cloud Computing,1,Module 1 Notes,,,
Notes,,,2,,,M24CA1E204D,Cloud Computing,2,Module 2 Notes,,,
Notes,,,2,,,M24CA1E204D,Cloud Computing,3,Module 3 Notes,,,
Notes,,,2,,,M24CA1E204D,Cloud Computing,4,Module 4 Notes,,,
Notes,,,2,,,M24CA1E204D,Cloud Computing,5,Module 5 Notes,,,
Notes,,,3,,,M24CA1C301,Data Science and ML,1,Module 1 Notes,,,
Notes,,,3,,,M24CA1C301,Data Science and ML,2,Module 2 Notes,,,
Notes,,,3,,,M24CA1C301,Data Science and ML,3,Module 3 Notes,,,
Notes,,,3,,,M24CA1C301,Data Science and ML,4,Module 4 Notes,,,
Notes,,,3,,,M24CA1C301,Data Science and ML,5,Module 5 Notes,,,
Notes,,,3,,,M24CA1C302,DAA,1,Module 1 Notes,,,
Notes,,,3,,,M24CA1C302,DAA,2,Module 2 Notes,,,
Notes,,,3,,,M24CA1C302,DAA,3,Module 3 Notes,,,
Notes,,,3,,,M24CA1C302,DAA,4,Module 4 Notes,,,
Notes,,,3,,,M24CA1C302,DAA,5,Module 5 Notes,,,
Notes,,,3,,,M24CA1E303A,Artificial Intelligence,1,Module 1 Notes,,,
Notes,,,3,,,M24CA1E303A,Artificial Intelligence,2,Module 2 Notes,,,
Notes,,,3,,,M24CA1E303A,Artificial Intelligence,3,Module 3 Notes,,,
Notes,,,3,,,M24CA1E303A,Artificial Intelligence,4,Module 4 Notes,,,
Notes,,,3,,,M24CA1E303A,Artificial Intelligence,5,Module 5 Notes,,,
Notes,,,3,,,M24CA1E303D,Big Data,1,Module 1 Notes,,,
Notes,,,3,,,M24CA1E303D,Big Data,2,Module 2 Notes,,,
Notes,,,3,,,M24CA1E303D,Big Data,3,Module 3 Notes,,,
Notes,,,3,,,M24CA1E303D,Big Data,4,Module 4 Notes,,,
Notes,,,3,,,M24CA1E303D,Big Data,5,Module 5 Notes,,,
Notes,,,3,,,M24CA1E304A,Deep Learning,1,Module 1 Notes,,,
Notes,,,3,,,M24CA1E304A,Deep Learning,2,Module 2 Notes,,,
Notes,,,3,,,M24CA1E304A,Deep Learning,3,Module 3 Notes,,,
Notes,,,3,,,M24CA1E304A,Deep Learning,4,Module 4 Notes,,,
Notes,,,3,,,M24CA1E304A,Deep Learning,5,Module 5 Notes,,,
Notes,,,3,,,M24CA1E304D,Cloud with AWS,1,Module 1 Notes,,,
Notes,,,3,,,M24CA1E304D,Cloud with AWS,2,Module 2 Notes,,,
Notes,,,3,,,M24CA1E304D,Cloud with AWS,3,Module 3 Notes,,,
Notes,,,3,,,M24CA1E304D,Cloud with AWS,4,Module 4 Notes,,,
